,0
0,3541.157000000012
1,5639.132000000014
2,6875.122000000014
3,7324.117000000017
4,7908.111000000015
5,8395.116000000016
6,8806.108000000017
7,9189.104000000018
8,9533.092000000015
9,9796.088000000014
10,9414.080000000013
11,8786.078000000012
12,8234.078000000012
13,7963.075000000012
14,8016.0700000000115
15,7771.068000000011
16,7297.074000000011
17,6965.078000000012
18,7035.078000000011
19,6879.083000000012
20,7592.073000000011
21,7540.075000000011
22,7481.078000000011
23,7289.0830000000105
24,7148.073000000009
25,7375.059000000008
26,7124.058000000008
27,6735.059000000008
28,7483.052000000009
29,7140.048000000008
30,6730.046000000008
31,6644.033000000005
32,6201.034000000004
33,6359.028000000004
34,5932.029000000004
35,5445.018000000002
36,5955.011000000001
37,5885.011000000001
38,4935.008000000001
39,4665.004000000001
40,4390.005
41,4820.0
42,4815.001
43,4670.003000000001
44,4940.003000000001
45,5205.004000000001
46,5485.002
47,5615.003000000001
48,5490.001
49,5625.001
50,5760.001
51,5895.001
52,6035.0
53,5755.002
54,5490.001
55,5340.004000000001
56,5080.002
57,4950.001
58,5350.002
59,5340.004000000001
60,5345.003000000001
61,5760.001
62,5755.002
63,5755.002
64,5070.004000000001
65,5470.005000000001
66,5340.004000000001
67,5490.001
68,5085.001
69,5090.0
70,5085.001
71,4950.001
72,4820.0
73,4955.0
74,5220.001
75,4945.002
76,4665.004000000001
77,4675.002
78,4415.0
79,4280.0
80,3850.005
81,3870.001
82,4005.001
83,3735.001
84,3600.001
85,3870.001
86,4280.0
87,4270.002
88,4820.0
89,4530.004000000001
90,4950.001
91,5490.001
92,5755.002
93,5615.003000000001
94,5490.001
95,5490.001
96,5355.001
97,5490.001
98,5890.002
99,6025.002
100,6015.004000000001
101,5890.002
102,5620.002
103,6035.0
104,6305.0
105,5755.002
106,5615.003000000001
107,5620.002
108,5350.002
109,5085.001
110,4955.0
111,4815.001
112,4400.003000000001
113,4270.002
114,4005.001
115,4680.001
116,4680.001
117,4950.001
118,4410.001
119,4280.0
120,4005.001
121,4270.002
122,4680.001
123,4680.001
124,4815.001
125,4410.001
126,4685.0
127,4680.001
128,4940.003000000001
129,4945.002
130,5350.002
131,5350.002
132,5350.002
133,5755.002
134,5750.003000000001
135,5750.003000000001
136,5765.0
137,5355.001
138,5625.001
139,5755.002
140,5085.001
141,5360.0
142,4955.0
143,4410.001
144,4005.001
145,4550.0
146,4550.0
147,4680.001
148,4275.001
149,4270.002
150,4410.001
151,4415.0
152,4955.0
153,4955.0
154,5090.0
155,4405.002
156,4410.001
157,4685.0
158,4955.0
159,4950.001
160,5760.001
161,5630.0
162,5620.002
163,6015.004
164,6160.002
165,6300.001
166,5750.003000000001
167,5620.002
168,5495.0
169,5765.0
170,5085.001
171,4950.001
172,4675.002
173,4410.001
174,4550.0
175,4680.001
176,5080.002
177,5085.001
178,5355.001
179,5490.001
180,5765.0
181,5625.001
182,5900.0
183,5760.001
184,5765.0
185,5630.0
186,5360.0
187,5630.0
188,5360.0
189,4675.002
190,4950.001
191,4955.0
192,5090.0
193,5090.0
194,5215.002
195,5355.001
196,5085.001
197,5085.001
198,5225.0
199,5355.001
200,5085.001
201,4680.001
202,4550.0
203,4415.0
204,4280.0
205,4545.001
206,4680.001
207,4545.001
208,4540.002
209,5080.002
210,5220.001
211,5080.002
212,5350.002
213,5485.002
214,5495.0
215,5225.0
216,5080.002
217,5345.003000000001
218,4940.003000000001
219,4805.003000000001
220,5080.002
221,5215.002
222,5630.0
223,5765.0
224,6035.0
225,5765.0
226,5075.003000000001
227,5080.002
228,5085.001
229,5360.0
230,4955.0
231,4685.0
232,4410.001
233,4550.0
234,4145.0
235,4145.0
236,4685.0
237,4815.001
238,4950.001
239,5360.0
240,5495.0
241,5630.0
242,5495.0
243,5225.0
244,4820.0
245,5220.001
246,4955.0
247,5085.001
248,4945.002
249,5090.0
250,5090.0
251,5220.001
252,5360.0
253,5625.001
254,6165.001
255,6170.0
256,5900.0
257,5625.001
258,5485.002
259,5215.002
260,5080.002
261,5085.001
262,5360.0
263,5085.001
264,4680.001
265,4680.001
266,4815.001
267,4815.001
268,4950.001
269,5080.002
270,5620.002
271,5485.002
272,5220.001
273,5490.001
274,5220.001
275,4955.0
276,4955.0
277,4685.0
278,4545.001
279,4280.0
280,4010.0
281,4000.002
282,4005.001
283,3995.003
284,4405.002
285,4670.003
286,4550.0
287,4820.0
288,5085.001
289,5350.002
290,5080.002
291,4945.002
292,5220.001
293,5090.0
294,4820.0
295,4820.0
296,5360.0
297,5360.0
298,5085.001
299,4950.001
300,5495.0
301,5355.001
302,5085.001
303,5355.001
304,5080.002
305,4675.002
306,4540.002
307,4685.001
308,4680.002
309,4410.002
310,4275.002
311,4550.001
312,4820.002
313,4820.002
314,5225.002
315,5765.003
316,5495.003
317,5630.003
318,5630.004
319,6030.0070000000005
320,5755.008000000001
321,5630.0070000000005
322,5535.010000000001
323,5265.011000000001
324,5130.012000000001
325,4515.011
326,5050.013000000001
327,4980.018000000002
328,4310.018000000002
329,4180.020000000001
330,4585.022000000001
331,4685.021000000001
332,4680.024000000001
333,5230.024000000001
334,5500.027000000003
335,5425.031000000002
336,5060.031000000003
337,4965.032000000003
338,5095.037000000004
339,5000.038000000004
340,4735.041000000003
341,4630.047000000003
342,4630.049000000003
343,4400.051000000003
344,4810.050000000005
345,5350.053000000006
346,5215.059000000007
347,6645.0590000000075
348,5605.065000000009
349,6310.066000000009
350,7445.067000000011
351,7310.070000000012
352,6400.07800000001
353,6330.079000000011
354,6280.079000000011
355,6245.07900000001
356,6260.08100000001
357,6080.08300000001
358,5675.0870000000095
359,5310.088000000009
360,5315.08800000001
361,5485.087000000009
362,5460.090000000009
363,5730.09300000001
364,5640.098000000009
365,6090.09900000001
366,6915.10000000001
367,6780.106000000011
368,6515.108000000012
369,6715.109000000012
370,6415.108000000013
371,6435.107000000013
372,6480.108000000014
373,6405.114000000014
374,6665.119000000015
375,6625.123000000016
376,6390.126000000017
377,6675.125000000016
378,6925.124000000016
379,7555.122000000016
380,7520.127000000017
381,7540.138000000019
382,7660.139000000019
383,7625.138000000018
384,7265.14100000002
385,7030.144000000018
386,7345.146000000019
