,0
0,8054.261000000035
1,11733.19600000003
2,13471.175000000028
3,14445.164000000026
4,14851.155000000024
5,15523.152000000024
6,16285.144000000024
7,16916.131000000023
8,17427.133000000023
9,17962.125000000022
10,17250.11000000002
11,16340.099000000017
12,14868.095000000016
13,14234.085000000014
14,13681.086000000014
15,13361.083000000013
16,11996.084000000013
17,11242.082000000013
18,10652.084000000013
19,10383.085000000014
20,10031.089000000013
21,10922.085000000014
22,12217.084000000013
23,11954.07000000001
24,12178.07100000001
25,12568.06700000001
26,12771.066000000012
27,13423.05700000001
28,14343.05600000001
29,14230.056000000008
30,13874.053000000009
31,13525.049000000006
32,12866.042000000007
33,13151.035000000007
34,13460.028000000006
35,13464.023000000005
36,13153.019000000004
37,12276.017000000003
38,10941.007000000001
39,11225.004
40,11645.005000000001
41,10915.004
42,10760.004
43,10340.003
44,10745.003
45,10755.003
46,10330.003
47,10350.003
48,10225.005000000001
49,9380.004
50,8695.004
51,8855.003
52,9990.002
53,9840.001
54,9445.003
55,9415.005000000001
56,9855.004
57,10260.004
58,10780.004
59,10515.005000000001
60,10375.002
61,10790.002
62,10650.003
63,10375.004
64,10210.006000000001
65,9810.003
66,8820.004
67,8650.007000000001
68,8550.002
69,9665.001
70,9780.003
71,9345.003
72,9495.004
73,10370.003
74,10900.003
75,11035.005000000001
76,11035.005000000001
77,11200.003
78,11365.001
79,10400.003
80,10550.006000000001
81,10565.007000000001
82,9990.006000000001
83,9375.007000000001
84,9270.005000000001
85,9990.004
86,10410.005000000001
87,10695.002
88,10935.002
89,10960.001
90,10390.001
91,10510.002
92,10390.001
93,9990.002
94,9575.0
95,9535.002
96,8685.002
97,8545.003
98,8720.003
99,8970.003
100,9110.004
101,8680.003
102,8935.004
103,9800.003
104,10360.003
105,10925.0
106,10510.0
107,10375.0
108,10095.002
109,9530.001
110,9380.004
111,9260.005000000001
112,9680.002
113,8970.001
114,8555.001
115,9130.0
116,10135.002
117,9690.002
118,10230.0
119,10095.0
120,10360.001
121,10925.0
122,10240.002
123,9965.001
124,9945.001
125,9370.0
126,8485.003
127,8930.001
128,8535.003
129,9100.004
130,9690.0
131,9535.002
132,9235.004
133,9685.003
134,9830.005000000001
135,10560.002
136,10115.006000000001
137,10135.006000000001
138,9880.003
139,9565.004
140,9440.002
141,9460.0
142,9715.001
143,9700.0
144,9835.0
145,9410.0
146,10255.003
147,9955.001
148,11055.003
149,10230.0
150,10495.001
151,10640.001
152,10640.001
153,10930.001
154,10370.001
155,9915.003
156,9200.003
157,9625.003
158,9350.002
159,10195.003
160,10630.003
161,10505.001
162,10080.001
163,9810.001
164,10240.002
165,10385.002
166,10385.002
167,9945.003
168,9375.003
169,9110.002
170,8835.001
171,9105.003
172,9680.004
173,9665.003
174,9760.005000000001
175,10195.003
176,10625.002
177,10195.003
178,10895.002
179,10075.002
180,10515.001
181,10500.002
182,10780.002
183,10380.001
184,9845.0
185,9695.001
186,8990.001
187,9275.0
188,9005.0
189,9965.001
190,9505.002
191,9095.003
192,8820.002
193,9385.001
194,9535.0
195,9835.0
196,9420.0
197,9565.0
198,9015.0
199,8710.001
200,8585.001
201,8435.002
202,8870.002
203,8705.0
204,8815.001
205,8790.002
206,9655.001
207,10075.002
208,10885.004
209,10635.004
210,10625.004
211,11475.002
212,11595.003
213,11775.002
214,11805.002
215,11395.001
216,10245.003
217,10110.003
218,9830.003
219,10375.004
220,10660.001
221,10500.002
222,10230.002
223,10370.003
224,10360.005000000001
225,10350.007000000001
226,9670.006000000001
227,10390.001
228,9700.002
229,9000.003
230,8595.003
231,8600.0
232,8165.002
233,8435.002
234,8685.002
235,8680.001
236,10235.001
237,9380.002
238,10210.002
239,9810.001
240,10080.001
241,10080.003
242,10070.001
243,9775.002
244,9395.001
245,9245.002
246,9380.0
247,9955.001
248,9665.003
249,11065.001
250,11190.001
251,11180.001
252,11215.002
253,11360.002
254,11385.001
255,11685.001
256,11000.001
257,11115.001
258,10430.001
259,9845.004
260,9305.002
261,8320.002
262,8475.002
263,8890.002
264,9285.002
265,9005.0
266,9135.001
267,8570.002
268,9690.0
269,9395.001
270,9665.003
271,10105.002
272,9660.002
273,9825.002
274,9850.001
275,9700.0
276,9660.002
277,10385.004
278,9955.003
279,10525.001
280,10645.001
281,10920.006000000001
282,11085.006000000001
283,11035.009000000002
284,10920.006000000001
285,10925.007000000001
286,10390.008000000002
287,10080.011000000002
288,9690.010000000002
289,9435.007000000001
290,8890.006000000001
291,8300.007000000001
292,8140.009000000002
293,7725.010000000002
294,7855.009000000002
295,8110.011000000002
296,8965.011000000002
297,8255.013000000003
298,8830.013000000003
299,8545.015000000003
300,8835.016000000003
301,9125.018000000004
302,8985.020000000004
303,8860.020000000004
304,9310.021000000004
305,9866.20258590501
306,9406.20458590501
307,10686.20458590501
308,10786.20358590501
309,11906.20358590501
310,11898.226541329728
311,12450.94729034641
312,12160.951290346411
313,13280.952290346411
314,12555.951290346411
315,12850.952290346411
316,12359.766704441405
317,12209.767704441405
318,11819.768704441403
319,10994.767704441403
320,10864.770704441404
321,9992.750749016688
322,9847.750749016688
323,9567.751749016688
324,11207.067969194837
325,11042.067969194837
326,10877.067969194837
327,10452.068969194837
328,10167.069969194838
329,10287.070969194838
330,11842.069969194838
331,12359.341322275266
332,12861.931231775436
333,12591.931231775436
334,12316.930231775435
335,12041.929231775435
336,12731.934231775436
337,12596.663303468273
338,12431.665303468273
339,12629.079393968104
340,12039.925205940317
341,12444.928205940318
342,12449.927205940317
343,12989.931205940318
344,12505.879914069332
345,13946.684251442874
346,13261.685251442874
347,13086.688251442873
348,13246.692251442873
349,12551.695251442874
350,11966.701251442875
351,11971.701251442875
352,12401.701251442875
353,12622.668794348805
354,13467.668794348805
355,13332.670794348805
356,13037.672794348806
357,12882.674794348806
358,14590.760726147735
359,14880.759726147735
360,15440.759726147735
361,13635.761726147737
362,13760.768726147739
363,13558.099498069692
364,13438.102498069693
365,14288.105498069695
366,14673.110498069696
367,14988.109498069696
368,14054.428206147086
369,15102.436329430284
370,13837.437329430284
371,13542.439329430284
372,13382.440329430283
373,15052.922344702545
374,15762.923344702545
375,16488.618049060977
376,15948.619049060979
377,14984.23977776489
378,16064.374170931562
379,15094.37717093156
380,14230.93067948891
381,14645.932679488911
382,14515.933679488911
383,15680.932679488911
384,16510.93267948891
385,17625.446401064877
386,16330.451401064876
387,16665.43681994427
388,16274.955804672009
389,15493.863923039222
390,15601.136165280685
391,15076.137165280685
392,14897.0986537468
393,14366.254841774587
394,15084.014411807986
395,15611.005288524786
396,15746.009288524787
397,15588.122206740449
398,14843.12520674045
399,16083.12520674045
400,15140.769360809556
401,13985.076656451123
402,13627.910162898163
403,14327.912162898163
404,14936.244523519592
405,17078.18874460407
406,15330.122393925749
407,15180.123393925749
408,14130.524379762332
409,13252.68987331529
410,13263.126006553526
411,14365.70578050067
412,14170.0402633587
413,14774.039171171093
414,15609.039171171093
415,14402.12991436592
416,15382.12991436592
417,14836.54575804684
418,15146.54475804684
419,14058.541661728836
420,13695.212301107407
421,14725.212301107405
422,14305.700579531442
423,14566.285735850523
424,13441.284735850522
425,13801.85597070357
426,13786.85897070357
427,13500.505672042207
428,12996.55409647423
429,12401.556096474233
430,12001.55609647423
431,12776.993635405819
432,12636.99463540582
433,13766.69335721195
434,13206.697357211951
435,13859.07258008451
436,13584.07458008451
437,14768.408051757555
438,14643.408051757555
439,13388.409051757553
440,12978.413051757554
441,12739.270114536974
442,12454.274114536973
443,11483.837981298737
444,12079.494364712216
445,13479.91283272146
446,13474.91183272146
447,12634.91183272146
448,13569.91083272146
449,14424.90983272146
450,14889.907832721463
451,13134.338597868415
452,13160.72778683908
453,11880.730786839078
454,11461.031065032947
455,11960.67642279188
456,12177.309464856538
457,12498.347079096524
458,12335.319027360172
459,13015.318027360172
460,14160.320027360174
461,14235.318027360174
462,14370.318027360174
463,13985.31902736017
464,14425.31802736017
465,13570.31902736017
466,13024.899559350926
467,13574.899559350926
468,13294.901559350927
469,14207.85699107697
470,12745.384347451833
471,12463.53447317802
472,12883.359515859445
473,11659.476063792476
474,12820.195550350863
475,12810.196550350862
476,12665.198550350862
477,11550.199550350862
478,10095.330446702505
479,10649.27676347483
480,10479.944291801787
481,10854.80641099613
482,10403.963499214637
483,10118.965499214637
484,10393.969499214638
485,10343.964499214637
486,10398.963499214637
487,10888.966499214637
488,12760.510178422493
489,13738.236125993544
490,12623.240125993541
491,12113.377006799197
492,11882.58887651603
493,12707.58887651603
494,12217.58687651603
495,14073.082022361392
496,15129.601873261343
497,15133.045432547666
498,14783.044432547666
499,14578.044432547666
500,14313.044432547666
501,14989.987703619025
502,15624.628317842366
503,14720.950399557936
504,15861.052213747822
505,15460.956399557936
506,16457.344152363436
507,14179.16949626703
508,15585.35293898014
509,16072.006866730137
510,16467.007866730135
511,16683.779739265963
512,16743.779739265963
513,14440.41746183479
514,12989.206563984528
515,14139.204563984526
516,14962.06671766352
517,15522.06571766352
518,15066.56338538365
519,16247.455953368903
520,15557.632910687478
521,15677.634910687479
522,16812.635910687477
523,17512.63491068748
524,16031.738342702223
525,17075.917312860412
526,16360.355972112435
527,17135.353972112436
528,16663.256585743882
529,16588.256585743882
530,17323.257585743882
531,17053.754524038195
532,16339.682677405905
533,16059.684677405905
534,16844.682677405905
535,16217.475410344125
536,16653.82031663321
537,14988.675463960695
538,15223.673463960695
539,16228.947627216043
540,17172.423945581664
541,16169.07853092144
542,16828.034202754956
543,15855.125589123505
544,16325.123589123505
545,17436.09668989992
546,15715.763077136104
547,16197.645870721713
548,16086.300964432628
549,17084.72424880027
550,16494.199687374745
551,15489.201687374743
552,15882.063245216783
553,17420.914911256947
554,16985.91149025734
555,16499.41720205815
556,17834.155846205267
557,18894.152846205267
558,16869.983543999853
559,16669.98654399985
560,16964.37885578147
561,16759.38185578147
562,16759.38185578147
563,16669.38185578147
564,16894.7342733358
565,17099.7302733358
566,17868.54483062269
567,16468.54383062269
568,16693.546830622687
569,17763.545830622686
570,18583.22269407256
571,17477.288540704852
572,16289.264151213787
573,14944.267151213788
574,14664.267151213788
575,14864.268151213788
576,15955.035297831639
577,16360.03029783164
578,16475.03029783164
579,17617.907581964046
580,18277.906581964045
581,18747.907581964046
582,18214.053915923883
583,19544.050915923886
584,20049.052915923883
585,19727.30312192122
586,19607.30412192122
587,22326.2942047114
588,21981.2942047114
589,22718.842500858296
590,22453.485083303964
591,22113.487083303964
592,21644.443322132058
593,20229.439322132057
594,21535.108639663442
595,21255.10663966344
596,21250.106639663445
597,19968.043869724715
598,20288.04186972471
599,21228.03886972471
600,20350.525112736825
601,20420.521112736824
602,20595.693250958513
603,19725.018933427124
604,18870.017933427123
605,18865.015933427123
606,18095.387203218335
607,18845.38520321834
608,18970.382203218338
609,18745.727718501017
610,19707.529637178286
611,20477.52463717829
612,20812.52363717829
613,20914.645353045882
614,20084.641353045878
615,20670.584367497388
616,20259.64035304588
617,21019.644353045882
618,20859.63935304588
619,21079.63835304588
620,20879.63435304588
621,20409.63435304588
622,20599.63035304588
623,20334.63035304588
624,20764.62735304588
625,21033.81614825601
626,20658.81414825601
627,19048.81514825601
628,19078.815148256006
629,18616.25485210911
630,18746.25585210911
631,19435.863800084626
632,18810.863800084626
633,18085.864800084626
634,18945.86180008463
635,17971.676004874495
636,18736.673004874498
637,19771.671004874494
638,20096.670004874493
639,20621.669004874497
640,20926.667004874496
641,21631.667004874496
642,22186.664004874496
643,23006.664004874496
644,21586.495866652807
645,22011.492866652807
646,21624.686947975533
647,22239.686947975533
648,21684.685947975533
649,21509.685947975533
650,21529.684947975533
651,20414.685947975533
652,20040.076000000012
653,19495.077000000012
654,19630.076000000015
655,19270.075000000015
656,18985.07400000001
657,17300.07300000001
658,17445.079000000012
659,17050.080000000013
660,17250.079000000012
661,17945.078000000012
662,17600.084000000013
663,18245.085000000014
664,18780.082000000013
665,18520.084000000013
666,19260.086000000014
667,20650.089000000014
668,20120.093000000015
669,20885.091000000015
670,21085.095000000016
671,21655.098000000016
672,21975.102000000017
673,23295.105000000018
674,22455.10900000002
675,22255.11700000002
676,22165.12000000002
677,22460.12400000002
678,22050.12200000002
679,21900.12300000002
680,21730.127000000022
681,20720.127000000022
682,21000.129000000023
683,20390.140000000025
684,20975.146000000026
685,21750.147000000026
686,21580.153000000028
687,20115.15800000003
688,20575.16500000003
689,21270.169000000027
690,20210.170000000027
691,20780.173000000028
692,20135.17500000003
693,19205.17800000003
694,19115.18600000003
695,18865.192000000032
696,19225.197000000033
697,21228.52949975784
698,23263.52949975784
699,24108.53449975784
700,25648.53349975784
701,25898.53749975784
702,27388.54149975784
703,28183.548499757842
704,27983.549499757843
705,28563.549499757843
706,28553.553499757843
707,29843.556499757844
708,30859.340083543542
709,32294.352083543545
710,34871.13150729065
711,35306.139507290645
712,35501.142507290635
713,36661.14550729057
714,39225.71472826167
715,40650.719728261676
716,40295.72672826169
717,38015.73572826175
718,40360.39554825387
719,39900.29862474882
720,41984.13204080803
721,42224.14304080802
722,42284.38846056201
723,40943.6168767763
724,39226.7018806918
725,38727.4096061286
726,40112.41460612853
727,40254.706685994286
728,39907.579436881584
729,42485.20092123567
730,40025.680779739734
731,40065.692779739715
732,41960.890576249425
733,41870.89357624943
734,44004.41574664501
735,41923.225868718415
736,41796.63746537691
737,44286.747919421134
738,41933.655486191674
739,44114.173216677875
740,46582.4402238916
