,0
0,6998.232000000028
1,10893.187000000024
2,13387.162000000022
3,14751.15400000002
4,15941.13200000002
5,16726.12400000002
6,17383.129000000023
7,18058.12000000002
8,18641.11900000002
9,19148.11900000002
10,17284.11100000002
11,16386.099000000017
12,15278.099000000017
13,15388.095000000016
14,15003.086000000014
15,14183.075000000012
16,13207.073000000011
17,12710.074000000011
18,11992.075000000012
19,11863.075000000012
20,13640.072000000011
21,14366.074000000011
22,14313.071000000013
23,14499.071000000013
24,14166.079000000012
25,13989.075000000012
26,13841.07000000001
27,13870.063000000011
28,14138.05500000001
29,14195.052000000009
30,13802.053000000009
31,12853.051000000009
32,12917.044000000007
33,11783.036000000007
34,11210.028000000006
35,11619.027000000006
36,12389.014000000003
37,12089.010000000002
38,11679.008000000002
39,11430.005000000001
40,10885.006000000001
41,10750.004
42,10050.003
43,10190.004
44,10630.003
45,10050.007000000001
46,9680.004
47,9550.003
48,8700.005000000001
49,8860.004
50,9295.004
51,9425.005000000001
52,9585.004
53,9835.008000000002
54,10155.002
55,9305.002
56,8990.007000000001
57,9830.007000000001
58,11085.005000000001
59,10770.008000000002
60,10495.009000000002
61,11060.006000000001
62,11080.006000000001
63,10100.007000000001
64,10250.004
65,11080.004
66,13170.005000000001
67,12615.002
68,12510.002
69,12635.004
70,12200.004
71,11620.004
72,11905.003
73,11770.003
74,10950.001
75,10375.006000000001
76,8855.001
77,9390.002
78,8240.004
79,7955.005
80,8405.004
81,8270.002
82,8980.001
83,10390.001
84,10520.002
85,9815.002
86,9505.006000000001
87,10925.002
88,11610.002
89,10730.006000000001
90,11040.006000000001
91,11505.0
92,10820.0
93,9940.0
94,10225.001
95,11220.001
96,12790.0
97,11945.001
98,12400.001
99,12390.001
100,12075.002
101,11355.001
102,11035.003
103,11055.001
104,10755.001
105,10625.0
106,9360.0
107,9080.0
108,7950.002
109,8110.001
110,7975.001
111,8820.002
112,9070.004
113,9645.003
114,9930.002
115,9220.003
116,9235.002
117,9930.002
118,10490.0
119,10490.0
120,10785.001
121,10525.001
122,10860.0
123,9995.001
124,9745.001
125,9565.004
126,10840.002
127,10565.001
128,11125.003
129,11400.002
130,11235.002
131,10920.001
132,10475.003
