,0
0,7733.239000000032
1,11675.194000000034
2,14113.177000000032
3,15516.16200000003
4,16822.147000000026
5,17878.135000000024
6,18997.127000000022
7,19205.133000000023
8,19880.128000000022
9,20440.11800000002
10,18188.11300000002
11,16842.106000000018
12,16228.099000000017
13,15731.090000000017
14,15132.089000000016
15,14864.086000000016
16,14520.077000000016
17,13738.075000000013
18,12986.074000000013
19,12444.081000000013
20,12935.074000000011
21,13161.069000000012
22,12471.06800000001
23,12150.072000000011
24,12867.063000000011
25,12675.06300000001
26,12104.06200000001
27,11803.056000000008
28,12029.062000000009
29,12480.050000000008
30,11931.052000000009
31,12938.042000000009
32,13165.038000000008
33,12938.036000000007
34,12656.034000000007
35,12316.036000000006
36,12429.028000000006
37,13243.019000000004
38,12919.012000000002
39,12480.004
40,12615.006000000001
41,11455.008000000002
42,11590.008000000002
43,11435.006000000001
44,10730.006000000001
45,10880.005000000001
46,10895.004
47,10620.005000000001
48,9935.003
49,10085.0
50,10185.005000000001
51,10765.003
52,9770.005000000001
53,9490.005000000001
54,10340.007000000001
55,10515.005000000001
56,10075.006000000001
57,10390.001
58,10670.001
59,10530.004
60,10270.006000000001
61,10115.006000000001
62,10005.003
63,10675.008000000002
64,10835.003
65,10935.004
66,11625.003
67,11455.006000000001
68,12565.004
69,12690.004
70,12555.006000000001
71,12560.001
72,12550.001
73,12110.002
74,11805.003
75,11100.005000000001
76,10840.003
77,10865.002
78,9725.004
79,9320.004
80,9300.004
81,10045.002
82,9625.001
83,8665.0
84,9230.005000000001
85,8825.003
86,8390.003
87,8660.001
88,8690.001
89,9245.002
90,8835.003
91,8250.002
92,8835.005000000001
93,9400.004
94,9815.002
95,10635.006000000001
96,11070.004
97,11500.003
98,11625.005000000001
99,12050.003
100,12470.002
101,13025.001
102,12440.002
103,12715.001
104,11995.002
105,11410.003
106,11130.005000000001
107,10695.005000000001
108,10855.002
109,10015.004
110,10005.004
111,10460.004
112,10340.001
113,9800.001
114,10500.002
115,10230.0
116,10240.0
117,9655.005000000001
118,10105.002
119,10395.002
120,9845.002
121,8965.002
122,9400.002
123,10545.003
124,9995.005000000001
125,10965.006000000001
126,11375.005000000001
127,11820.005000000001
128,11285.004
129,11410.002
130,11405.003
131,11550.001
132,10835.001
133,10780.002
134,10330.001
135,9765.002
136,9485.002
137,9895.003
138,10155.003
139,10185.001
140,10880.001
141,11470.001
142,11330.002
143,10480.002
144,11615.003
145,10910.001
146,10665.0
147,10385.0
148,10375.0
149,10795.003
150,10250.0
151,9365.003
152,10050.007000000001
153,11500.003
154,11115.001
155,11400.002
156,11265.002
157,11430.002
158,11580.001
159,11265.0
160,11405.001
161,11385.003
162,10675.004
163,10530.002
164,10360.001
165,9895.003
166,10710.002
167,10430.004
168,10140.004
169,9885.003
170,11010.0
171,11465.0
172,11335.001
173,10175.005000000001
174,11165.002
175,10740.002
176,10470.002
177,10605.0
178,10195.001
179,10495.001
180,9660.002
181,9065.003
182,9350.004
183,10785.003
184,10245.003
185,10550.006000000001
186,10720.003
187,10995.002
188,11165.001
189,11145.001
190,11130.002
191,10855.001
192,10285.001
193,9435.001
194,9405.001
195,9380.002
196,9495.004
197,9505.002
198,9610.002
199,9340.002
200,9890.002
201,10470.006000000001
202,10595.004
203,10735.001
204,10885.002
205,11020.0
206,11580.0
207,11565.003
208,11450.001
209,11715.002
210,11190.001
211,10590.003
212,10495.003
213,11500.001
214,10810.002
215,11115.001
216,10975.0
217,11680.0
218,11550.001
219,10395.006000000001
220,10685.004
221,10825.003
222,10660.003
223,9970.002
224,10085.004
225,9770.007000000001
226,10055.004
227,9075.003
228,9035.003
229,8925.0
230,9345.001
231,10210.0
232,10065.0
233,9760.001
234,10465.001
235,11005.003
236,10750.002
237,10750.002
238,10615.002
239,11185.0
240,10485.001
241,9915.001
242,9260.001
243,10120.001
244,10120.001
245,9840.001
246,9845.0
247,10550.002
248,10705.002
249,10555.001
250,10665.004
251,10235.003
252,10775.003
253,10075.004
254,9655.003
255,10090.001
256,10080.001
257,9650.0
258,9350.002
259,9630.004
260,10060.003
261,10645.004
262,10915.002
263,10610.001
264,11050.002
265,11205.0
266,11350.0
267,11345.001
268,11045.001
269,11175.0
270,10870.003
271,10585.004
272,10200.002
273,10235.001
274,10075.002
275,9795.002
276,9805.002
277,10225.002
278,10525.002
279,10105.005000000001
280,9825.005000000001
281,9810.004
282,9795.003
283,9110.003
284,9110.003
285,9255.003
286,8945.006000000001
287,8665.007000000001
288,8095.007000000001
289,8365.010000000002
290,8800.006000000001
291,9520.008000000002
292,9395.008000000002
293,9650.007000000001
294,9940.007000000001
295,10365.009000000002
296,10920.010000000002
297,11200.010000000002
298,11055.012000000002
299,11215.011000000002
300,11070.011000000002
301,10785.013000000003
302,10810.012000000002
303,11245.012000000002
304,10955.014000000003
305,10385.018000000004
306,9980.018000000004
307,10405.016000000003
308,10410.017000000003
309,10540.016000000003
310,10705.016000000003
311,9970.016000000003
312,10375.017000000003
313,10115.018000000004
314,9980.016000000003
315,10110.017000000003
316,10525.017000000003
317,9960.020000000004
318,9395.020000000004
319,9545.019000000004
320,9685.019000000004
321,10115.023000000005
322,10125.023000000005
323,10100.022000000003
324,10380.022000000004
325,10515.022000000003
326,10530.021000000002
327,10060.026000000003
328,10500.028000000004
329,10510.026000000003
330,10640.026000000003
331,10200.025000000003
332,9655.026000000003
333,10085.026000000005
334,9960.026000000003
335,10105.028000000004
336,9820.027000000006
337,9975.028000000006
338,9950.032000000005
339,10235.032000000005
340,10375.035000000005
341,11215.777634033933
342,11465.778634033933
343,10645.780634033934
344,10785.781634033934
345,10645.783634033935
346,10770.786634033935
347,11355.785634033935
348,12045.789634033936
349,11785.789634033936
350,9815.792634033936
351,9840.794634033937
352,9850.794634033937
353,10385.793634033935
354,10525.794634033937
355,10640.799634033936
356,10515.800634033936
357,10203.011571604471
358,10618.012571604471
359,10353.014571604472
360,11053.012571604473
361,10603.016571604474
362,10188.017571604474
363,10623.017571604474
364,10345.81163403394
365,10520.81063403394
366,11510.81363403394
367,11380.818634033942
368,10940.82063403394
369,11480.82363403394
370,11875.827634033942
371,12040.825634033941
372,12455.828634033942
373,11645.826634033941
374,11805.089282759165
375,10520.092282759166
376,9970.091282759166
377,10380.093282759166
378,10114.353648725239
379,10793.938927719388
380,10103.940927719388
381,10128.942927719389
382,11082.757398886668
383,12762.357829385277
384,12542.844069773906
385,12792.847069773909
386,12827.848069773909
387,12247.85006977391
388,13379.414996376423
389,13570.612137854101
390,13690.613137854103
391,13815.614137854102
392,12820.614137854102
393,12980.615137854102
394,12448.144141960145
395,12168.145141960147
396,12733.146141960147
397,12598.150141960148
398,13391.051546259261
399,13266.46726726511
400,13566.467267265112
401,13281.468267265112
402,13566.468267265112
403,13011.469267265113
404,13203.249300349933
405,13053.250300349931
406,12628.250300349931
407,12488.251300349932
408,12238.252300349932
409,13248.252300349932
410,12983.251300349932
411,12828.990651624708
412,14258.990651624708
413,14668.989651624708
414,14928.99265162471
415,13048.997651624708
416,14083.99565162471
417,16431.007555166263
418,16131.407124667654
419,15836.855028948365
420,14940.075995863544
421,14835.642704266678
422,12066.06053316949
423,12900.15032680309
424,11330.15332680309
425,10930.15332680309
426,11350.156326803091
427,10590.76298930003
428,11490.201280896896
429,11656.201556019761
430,12034.979876018082
431,11744.980876018082
432,11069.470911365475
433,11080.85629946578
434,12028.654346845648
435,12028.657346845648
436,10734.032671761457
437,10434.908419329917
438,12298.505478774234
439,12013.509478774235
440,11653.233219886974
441,11658.237219886974
442,11232.123854270987
443,10403.034060637387
444,10673.034060637387
445,10718.321774432636
446,11112.598311338319
447,10967.59931133832
448,10832.59931133832
449,10957.714514040159
450,10947.71551404016
451,10797.714514040159
452,10048.439977134472
453,10488.438977134476
454,10097.418887941614
455,10107.419887941614
456,11304.862098201509
457,12482.604500723828
458,14160.328794687863
459,15255.329794687863
460,15320.329794687863
461,15330.327794687862
462,15465.328794687863
463,14728.154216875006
464,15158.287682086098
465,16403.98877305472
466,16113.988773054718
467,16816.982493459265
468,15691.983493459264
469,14365.829575991695
470,15232.6559766786
471,15018.27286817375
472,15013.27486817375
473,14584.047812025468
474,15832.806533742185
475,15335.364323482292
476,15185.365323482292
477,16129.965063632155
478,16520.946931180442
479,14693.297250120197
480,14828.297250120197
481,13698.759064928388
482,13718.757064928388
483,15632.47124321298
484,15637.47024321298
485,16454.049034877455
486,15288.209168055904
487,15070.427753415623
488,14744.586209518146
489,14699.206125422024
490,13382.709573715772
491,13082.713573715775
492,13367.712573715775
493,12903.636651745674
494,12895.889863381646
495,12900.889863381644
496,13562.21328068287
497,13132.21428068287
498,12732.215280682873
499,12442.216280682873
500,12898.243673423942
501,14547.765083756394
502,14784.427222741419
503,13839.426222741418
504,14234.251921190033
505,14718.147628314768
506,14788.145628314767
507,15036.674878497546
508,13900.237258494484
509,12810.238258494484
510,12462.140840088508
511,11451.56853382777
512,12014.672149793056
513,12549.60246584827
514,12264.605465848268
515,12163.576073107199
516,12750.4735985223
517,12838.154379777367
518,13619.823441801946
519,15571.071735965765
520,15711.069735965764
521,15706.071735965765
522,17251.071735965765
523,17785.541051786997
524,16993.252154673057
525,16568.867823368666
526,16076.994587540048
527,15737.370467964034
528,13860.884733501338
529,14985.885733501336
530,14060.883733501338
531,14195.881733501337
532,13879.275878821334
533,14144.276878821334
534,14295.444875520887
535,14005.446875520887
536,14006.57970962349
537,15188.157877590555
538,15258.158877590557
539,14904.966056619376
540,15039.967056619376
541,14407.671551565822
542,13650.535395659166
543,14679.964027003125
544,15058.458711291469
545,15470.842467451866
546,16315.841467451866
547,16145.909151396652
548,16550.909151396652
549,17468.88937304541
550,17984.44333158838
551,17004.776745574298
552,17067.068250627854
553,16992.068250627854
554,16067.238225030676
555,15552.36884306427
556,15362.370843064271
557,15442.371843064271
558,15419.059058861332
559,16131.235931826532
560,16276.236931826532
561,16448.36182197914
562,16378.358821979138
563,17122.740950090876
564,16457.44754844353
565,16177.44754844353
566,15862.447548443528
567,16172.44854844353
568,16437.44654844353
569,16130.629785975614
570,15765.968168711339
571,16488.280618529432
572,16333.278618529432
573,16678.27661852943
574,16328.275618529431
575,16473.27361852943
576,16799.7425952301
577,16224.18663668713
578,16839.182636687132
579,16631.127806803655
580,16486.126806803655
581,16373.947933838455
582,16821.070775315082
583,16781.068775315085
584,16711.070775315085
585,17992.394051658954
586,18335.272159800745
587,18907.06095802011
588,18961.780135389523
589,18619.63644046994
590,18955.155184666222
591,19235.153184666222
592,18605.073549047826
593,20015.072549047825
594,19790.071549047825
595,19650.068549047824
596,18737.758099229726
597,18535.67559676409
598,18510.67159676409
599,18005.67159676409
600,17940.67259676409
601,17860.669596764084
602,17640.664596764087
603,18265.662596764083
604,17720.938419394668
605,18285.931419394667
606,18720.929419394666
607,18790.925419394665
608,18914.134621175304
609,20205.025839517763
610,19695.024839517766
611,19605.02083951776
612,19262.760603264236
613,19132.761603264236
614,18922.761603264236
615,18710.993218342483
616,19796.439607330885
617,19921.43860733088
618,19081.43760733088
619,18951.441607330882
620,19446.436607330885
621,19601.43460733088
622,19471.43460733088
623,19231.43260733088
624,20349.833553965585
625,19813.940335623123
626,19383.938335623123
627,19178.940335623123
628,19098.942335623124
629,18158.938335623123
630,18163.937335623123
631,18493.934335623122
632,18063.937335623123
633,18773.93233562312
634,18798.93133562312
635,18788.93133562312
636,18543.47994663472
637,18758.477946634717
638,19808.47694663472
639,20903.476946634717
640,20778.47594663472
641,19435.06900000001
642,19970.069000000014
643,19770.067000000014
644,18995.064000000013
645,18935.064000000013
646,19020.068000000014
647,18820.066000000013
648,18150.069000000014
649,18220.069000000014
650,18410.071000000014
651,19050.072000000015
652,18980.074000000015
653,19250.072000000015
654,19815.074000000015
655,19530.07400000001
656,19085.07400000001
657,19605.073000000015
658,19095.07500000001
659,18140.075000000015
660,18210.076000000015
661,18070.078000000012
662,17800.081000000013
663,17885.084000000017
664,18245.087000000018
665,18400.088000000018
666,18200.092000000015
667,18325.092000000015
668,18965.096000000016
669,20695.903624371338
670,20730.902624371338
671,20650.90462437134
672,21060.903624371338
673,20825.902624371338
674,20255.90962437134
675,20375.90862437134
676,20465.90562437134
677,18965.101000000017
678,18960.100000000017
679,19230.106000000018
680,19660.11000000002
681,19505.11200000002
682,19160.11900000002
683,19405.125000000022
684,19605.12200000002
685,19600.126000000022
686,19180.129000000023
687,19890.131000000023
688,19665.138000000024
689,18310.139000000025
690,18385.144000000026
691,18635.151000000027
692,18005.156000000028
693,18455.16100000003
694,19180.16400000003
695,19055.17100000003
696,19270.176000000032
697,19555.175000000032
698,19265.175000000032
699,20280.183000000034
700,20430.180000000033
701,20635.178000000033
702,21140.180000000033
703,22067.766071053957
704,22497.766071053957
705,22787.77407105396
706,22592.77907105396
707,22397.78007105396
708,23197.78807105396
709,23182.794071053962
710,23587.43328914485
711,23947.438289144855
712,23672.442289144852
713,23972.448289144857
714,24938.45802877198
715,25630.735313953934
716,26865.735313953934
717,29761.64703167769
718,30321.654031677695
719,30961.843682829287
720,32666.410313600583
721,32391.417313600585
722,32533.376967418582
723,35679.771500489616
724,35919.21685296413
725,35789.223852964125
726,37995.83878048553
727,37081.98038518797
728,37600.53689467116
729,38948.971629213775
730,38015.427119730586
731,36795.44111973064
732,38753.476609414196
733,36427.91578267041
734,36326.91355511454
735,37630.95845473955
736,37339.378180771564
737,36639.38918077158
738,36696.27034636042
739,37746.27334636037
740,37727.491466158266
741,35745.34646827526
742,36798.117456897024
743,35441.93578617069
744,37324.584829953965
745,37924.582829953935
746,38620.861115417174
747,38365.86611541717
748,38958.05633623663
749,38422.525843191775
750,39452.527843191754
751,38571.43618024925
752,39156.28777667873
753,40136.29177667867
754,43086.85919055869
755,46268.94264364841
756,51519.92764933669
757,51377.04928892158
758,49945.193004590394
759,51685.551103871825
760,49069.67284918528
761,50386.204305481835
762,50160.999452081705
763,49312.035316324735
764,50325.342169202224
765,46401.558745449685
766,44476.76912420416
767,45203.79509269538
768,44477.74516725944
769,42712.207734624804
770,43207.47487858384
771,43497.95235259038
772,45451.68965570793
773,45524.322431242836
774,44923.90843862145
775,45248.907438621456
776,45978.90843862139
777,46104.618618403656
778,50520.54256524076
779,46445.94773709913
780,48136.44487783182
781,50160.015924955114
782,50187.609276913725
783,50030.38897199542
784,47589.118856734225
785,50718.83006650867
786,49475.5121703225
787,49338.01393919986
788,48353.013939199955
789,51227.7274972078
790,53265.17216899385
791,55698.52894539876
792,54979.84270931928
793,51934.319093992184
794,55125.52602450351
795,51777.879883636175
796,52649.84065941141
797,51950.7719166371
798,49961.61537705677
799,48567.268377040025
800,51313.85122060733
801,52388.8184764168
802,51881.284451873034
803,52686.82672569973
804,53169.29398183382
805,53599.293981833835
806,56364.84394410455
807,58068.57199297116
808,58130.84418190297
809,58154.206587322464
810,56314.15848454325
811,56992.61710460674
812,55174.31274474945
813,58083.38127824152
814,63521.96453747613
815,66609.74327140297
816,72353.3519122351
817,70474.67553392629
818,70509.84938645012
819,70070.7597178504
820,72181.93850897858
821,72423.59042333844
822,70148.19799334739
823,66919.86573033739
824,64721.60521385196
825,61241.40809165157
826,59814.65415590924
827,59158.3138616594
828,57938.18495078008
829,57663.89604298413
830,59581.30179495325
831,55846.67182429461
832,53819.6596550799
833,50801.89151853777
834,48049.58714874965
835,49162.283997725404
836,47909.5951294316
837,46991.39294974021
838,45812.43225191448
839,43167.427251914516
840,41353.58117312394
841,41541.141057140776
842,39207.450691695354
843,39480.884105488534
844,40182.0743152893
845,40847.06731528928
846,38668.62890149607
847,38453.62090149608
848,37978.61790149611
849,39733.59790149607
850,40393.94260439413
851,39608.938604394185
852,38853.03801664047
853,37918.032016640514
854,37258.02701664054
855,35473.02701664061
856,33828.02501664066
857,34367.141614641274
858,34258.20574060981
859,33908.19874060981
860,33943.19674060981
861,33863.19974060981
862,33738.191740609815
863,34528.187740609814
864,35335.478891634
865,35515.48089163398
866,34850.27099999998
867,35638.75921434297
868,34978.758214343005
869,33790.26100000003
870,33495.25800000003
871,33240.25600000004
872,32700.256000000045
873,32915.256000000045
874,33424.46830990749
875,33749.465309907486
876,31384.4683099075
877,31124.4673099075
878,30594.4633099075
879,31604.4643099075
880,31694.459309907495
881,31575.238000000045
882,30645.235000000044
883,29780.235000000044
884,29295.235000000044
885,28745.226000000042
886,28045.22200000004
887,27935.21900000004
888,26930.21900000004
889,26390.222000000038
890,26490.21900000004
891,26125.21600000004
892,26240.21300000004
893,27640.207000000035
894,28475.202000000038
895,30170.198000000037
896,30235.194000000032
897,30585.192000000035
898,30765.190000000035
899,29915.189000000035
900,28310.189000000035
901,28560.187000000034
902,27870.175000000032
903,28375.16900000003
904,26520.170000000027
905,26530.16900000003
906,27990.167000000027
907,28125.16400000003
908,28685.16400000003
909,29910.16000000003
910,30345.15900000003
911,30695.15900000003
912,30890.156000000028
913,30380.152000000027
914,29945.154000000028
915,29595.154000000028
916,28475.150000000027
917,28420.150000000027
918,26515.149000000027
919,26485.147000000026
920,26625.143000000025
921,25840.143000000025
922,26755.136000000024
923,25995.135000000024
924,27280.129000000023
925,26900.129000000023
926,27510.12400000002
927,29015.12000000002
928,28850.11900000002
929,26720.12000000002
930,25065.12100000002
931,24915.12000000002
932,24930.11600000002
933,24260.11200000002
934,23720.11300000002
935,23590.10900000002
936,25050.105000000018
937,25105.10300000002
938,27125.09400000002
939,26810.09300000002
940,27385.09100000002
941,27135.089000000014
942,25135.091000000015
943,24840.087000000018
944,24510.084000000017
945,24035.079000000012
946,22570.081000000017
947,21700.079000000016
948,21135.081000000017
949,21260.079000000016
950,21890.078000000012
951,21795.076000000015
952,22115.079000000016
953,22730.077000000016
954,24125.07400000001
955,24320.076000000015
956,25005.072000000015
957,24360.07300000001
958,24105.070000000014
959,22960.065000000013
960,22695.05800000001
961,22790.05300000001
962,22600.054000000007
963,22960.05400000001
964,23095.05400000001
965,23675.05200000001
966,24110.053000000007
967,23475.05800000001
968,24015.061000000012
969,25280.06600000001
970,24715.06700000001
971,24890.06500000001
972,25080.063000000013
973,24315.06500000001
974,23905.06400000001
975,24215.06900000001
976,23220.07400000001
977,23950.07200000001
978,23390.07300000001
979,22820.076000000012
980,23045.080000000013
981,23340.081000000013
982,23070.085000000014
983,24465.082000000013
984,25345.082000000013
985,25810.081000000013
986,26605.078000000012
987,26655.07300000001
988,25885.074000000015
989,24750.07500000001
990,24885.07500000001
991,23615.076000000012
992,23435.078000000012
993,24990.077000000012
994,24840.078000000016
995,24370.080000000016
996,25140.081000000017
997,25052.079000000016
998,25312.079000000012
999,27467.077000000016
1000,26672.080000000013
1001,26442.082000000017
1002,25832.087000000014
1003,23597.089000000014
1004,23202.086000000014
1005,22797.089000000014
1006,21967.088000000014
1007,22062.091000000015
1008,21937.092000000015
1009,22127.090000000015
1010,24047.088000000014
1011,24187.091000000015
1012,24322.096000000016
1013,24802.101000000017
1014,25362.100000000017
1015,26516.097000000016
1016,28351.093000000015
1017,29346.091000000015
1018,27580.094000000016
1019,26545.096000000016
1020,26540.093000000015
1021,26340.092000000015
1022,25799.093000000015
1023,27294.090000000015
1024,28154.09100000002
1025,28784.091000000015
1026,28759.09200000002
1027,28404.09000000002
1028,27469.092000000015
1029,27534.094000000016
1030,26949.095000000016
1031,27284.098000000016
1032,27074.101000000017
1033,26114.099000000017
1034,25784.095000000016
1035,25533.096000000016
1036,26040.094000000016
1037,25863.093000000015
1038,25955.096000000016
1039,28125.09500000002
1040,28712.092000000015
1041,28706.095000000016
1042,30041.09900000002
1043,31026.09500000002
1044,32291.09600000002
1045,32136.09500000002
1046,32351.09700000002
1047,31976.09800000002
1048,34051.09400000002
1049,33096.09200000002
1050,33102.09000000002
1051,32779.09000000002
1052,33386.087000000014
1053,34251.08400000002
1054,34471.08400000001
1055,33486.08100000002
1056,33490.080000000016
1057,33463.08000000001
1058,33528.08400000001
1059,33827.08800000001
1060,34255.087000000014
1061,34235.091000000015
1062,33885.08900000002
1063,32905.09000000002
1064,30210.09300000002
1065,30920.089000000018
1066,30262.087000000018
1067,29772.085000000017
1068,28233.084000000017
1069,28993.086000000018
1070,28735.085000000017
1071,30150.084000000017
1072,30826.084000000017
1073,31229.084000000017
1074,32130.083000000017
1075,32830.08100000001
1076,33994.08099999999
1077,33589.085999999996
1078,33582.08999999999
1079,33330.09299999999
1080,33325.097
1081,33217.09900000001
1082,32657.10200000002
1083,33082.10700000001
1084,33437.11400000001
